City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
1,Atuona,PF,80.4,overcast clouds,-9.8,-139.0333,Villa Enata
3,Rikitea,PF,79.54,clear sky,-23.1203,-134.9692,Pension Maro'i
4,Avarua,CK,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
7,Port Blair,IN,80.46,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
8,Hithadhoo,MV,82.72,overcast clouds,-0.6,73.0833,Scoop Guest House
11,Hilo,US,84.2,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Vaini,TO,75.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
15,Champerico,GT,87.8,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
17,Boa Vista,BR,80.6,light rain,2.8197,-60.6733,Aipana Plaza Hotel
21,Kenda,IN,76.23,clear sky,23.2,86.5333,Gouranga Hindu Hotel
33,Labuhan,ID,79.2,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
35,Ixtapa,MX,75.2,broken clouds,20.7,-105.2,Hotel Plaza Providencia
41,Bouna,CI,79.48,scattered clouds,9.2667,-3.0,Hotel Reserve
45,Vao,NC,76.41,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
47,Juazeiro,BR,87.8,clear sky,-9.4117,-40.4986,JB Hotel
48,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
55,Kapaa,US,79.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
56,Pochutla,MX,84.99,clear sky,15.7432,-96.4661,Hotel Posada San Jose
58,Bambanglipuro,ID,78.8,overcast clouds,-7.95,110.2833,Puri Brata
60,Morondava,MG,76.28,clear sky,-20.2833,44.2833,La Case Bambou
62,Sola,VU,81.03,broken clouds,-13.8833,167.55,Leumerus Bungalows
65,Roura,GF,81.0,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
74,Poum,NC,80.2,scattered clouds,-20.2333,164.0167,Gîte kajeon
75,Santa Rosa,PH,84.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
83,Dingle,PH,80.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
85,Daru,PG,81.91,overcast clouds,-9.0763,143.2092,Daru Lodge
89,Arraial Do Cabo,BR,77.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
96,Kokopo,PG,83.84,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
100,Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
101,Vung Tau,VN,79.79,overcast clouds,10.346,107.0843,Green hotel
112,Vila Velha,BR,78.8,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
117,Tabou,CI,77.99,broken clouds,4.423,-7.3528,hotêl doufoulougou
118,Flinders,AU,77.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
121,Salalah,OM,77.0,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
122,Puerto Ayora,EC,80.01,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
125,Itarema,BR,77.63,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
128,Pitimbu,BR,75.2,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
129,Majene,ID,79.86,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
133,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
137,Santo Domingo,DO,80.01,scattered clouds,18.5001,-69.9886,Cabañas City Heart
138,Harper,LR,78.49,broken clouds,4.375,-7.7169,Screensaver
141,Caravelas,BR,75.87,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
146,Kavaratti,IN,81.95,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
147,Buraydah,SA,77.0,clear sky,26.326,43.975,فندق راحة السلام
148,Bima,ID,79.93,broken clouds,-8.4667,118.7167,Lambitu Hotel
153,Ranau,MY,78.8,light rain,5.9538,116.6641,Ranau Backpackers Hostel
155,Sao Joao Da Barra,BR,76.62,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
162,Noumea,NC,86.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
169,Birao,CF,82.33,few clouds,10.2849,22.7882,
170,Oranjestad,AW,80.6,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
174,Meulaboh,ID,75.02,overcast clouds,4.1363,96.1285,Kost Pria
176,Kaffrine,SN,80.56,clear sky,14.1059,-15.5508,Beuleup counda motel
177,Nicoya,CR,87.8,few clouds,10.1483,-85.452,Guayacan Real
179,Faanui,PF,83.7,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
180,Georgetown,MY,78.8,mist,5.4112,100.3354,Cititel Penang
181,Sambava,MG,75.49,scattered clouds,-14.2667,50.1667,Melrose
185,Mul,IN,78.64,clear sky,20.0667,79.6667,Taj Mahal
189,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
194,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
201,Hobyo,SO,77.43,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
203,Isangel,VU,84.2,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
206,Maningrida,AU,84.67,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
211,Kismayo,SO,79.41,broken clouds,-0.3582,42.5454,Agan-Hotel
212,Quatre Cocos,MU,77.0,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
214,Adre,TD,81.07,clear sky,13.4667,22.2,
220,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
228,Basco,PH,75.24,broken clouds,20.4487,121.9702,Nathaniel's Lodge
229,Porbandar,IN,76.86,clear sky,21.6422,69.6093,Lords Inn Porbandar
232,Edd,ER,85.53,clear sky,13.9297,41.6925,
235,Tagusao,PH,81.84,overcast clouds,9.1924,117.8141,Toledo
239,Cairns,AU,86.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
246,Araguacu,BR,76.77,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
249,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
251,Carutapera,BR,75.36,light rain,-1.195,-46.02,Lidera
252,San Patricio,US,77.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
254,San Antero,CO,80.6,broken clouds,9.3741,-75.7589,Villamarina Inn chale
263,Beberibe,BR,80.01,few clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
264,Hambantota,LK,77.77,heavy intensity rain,6.1241,81.1185,Bungalow 63
266,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
270,Gizo,SB,84.58,overcast clouds,-8.103,156.8419,Imagination Island
273,Iquitos,PE,80.6,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
274,Ambilobe,MG,75.06,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
278,Gambela,ET,80.11,clear sky,8.25,34.5833,Solomon Debebe Hotel
282,Sur,OM,75.87,clear sky,22.5667,59.5289,Sur Plaza Hotel
283,Vanimo,PG,84.43,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
