City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Maridi,SS,2021-03-15 03:02:32,4.9158,29.4742,68.16,89,100,4.56
1,Caconda,AO,2021-03-15 03:02:32,-13.7333,15.0667,60.17,98,100,1.14
2,Ushuaia,AR,2021-03-15 03:02:34,-54.8,-68.3,50.0,71,75,12.66
3,Vaini,TO,2021-03-15 03:02:34,-21.2,-175.2,77.0,88,75,3.44
4,Pleasanton,US,2021-03-15 02:58:44,37.6624,-121.8747,51.01,81,90,13.8
5,Busselton,AU,2021-03-15 03:02:35,-33.65,115.3333,75.0,44,0,8.01
6,Litovko,RU,2021-03-15 03:02:36,49.2361,135.1742,32.14,88,0,3.89
7,Qaanaaq,GL,2021-03-15 03:02:37,77.484,-69.3632,-6.68,61,99,7.76
8,Los Llanos De Aridane,ES,2021-03-15 03:02:37,28.6585,-17.9182,66.2,72,90,11.5
9,Port Alfred,ZA,2021-03-15 03:02:38,-33.5906,26.891,70.0,96,98,9.4
10,Avarua,CK,2021-03-15 03:02:38,-21.2078,-159.775,82.4,78,20,5.75
11,Rikitea,PF,2021-03-15 03:02:38,-23.1203,-134.9692,81.72,70,17,4.16
12,Faya,SA,2021-03-15 03:02:39,18.3851,42.4509,60.8,36,0,3.36
13,Norman Wells,CA,2021-03-15 03:02:39,65.282,-126.8329,-5.8,77,75,11.5
14,Oussouye,SN,2021-03-15 03:02:40,12.485,-16.5469,77.0,69,0,2.3
15,Seoul,KR,2021-03-15 03:02:17,37.5683,126.9778,55.4,50,98,8.05
16,Albany,US,2021-03-15 03:00:08,42.6001,-73.9662,25.0,31,27,1.99
17,Hongjiang,CN,2021-03-15 03:02:41,27.11,109.9956,76.82,66,22,12.66
18,Chuy,UY,2021-03-15 03:02:43,-33.6971,-53.4616,62.83,81,0,3.89
19,Algiers,DZ,2021-03-15 03:02:44,36.7525,3.042,42.8,100,20,3.44
20,Punta Arenas,CL,2021-03-15 03:00:31,-53.15,-70.9167,48.2,87,90,9.22
21,Victoria,HK,2021-03-15 02:59:07,22.2855,114.1577,77.0,60,61,8.01
22,Dingle,PH,2021-03-15 03:02:44,10.9995,122.6711,85.73,69,5,6.89
23,San Carlos De Bariloche,AR,2021-03-15 03:02:45,-41.1456,-71.3082,66.2,45,0,4.61
24,Bredasdorp,ZA,2021-03-15 03:02:45,-34.5322,20.0403,64.4,100,100,3.44
25,Palencia,ES,2021-03-15 03:02:46,42.4167,-4.5,37.0,84,0,1.99
26,Ahipara,NZ,2021-03-15 03:02:46,-35.1667,173.1667,71.17,70,73,3.36
27,Nikolskoye,RU,2021-03-15 03:02:47,59.7035,30.7861,35.6,93,75,6.71
28,Clyde River,CA,2021-03-15 03:02:48,70.4692,-68.5914,-7.6,77,1,27.63
29,Yar-Sale,RU,2021-03-15 03:02:48,66.8333,70.8333,9.63,95,97,3.98
30,Veracruz,MX,2021-03-15 03:02:48,19.3333,-96.6667,78.01,94,40,1.07
31,Souillac,MU,2021-03-15 03:02:49,-20.5167,57.5167,77.0,94,75,11.23
32,Bara,NG,2021-03-15 03:00:40,10.3744,10.7288,73.76,77,69,7.58
33,Porto Santo,PT,2021-03-15 03:02:49,33.072,-16.3415,60.8,77,20,8.05
34,Torbay,CA,2021-03-15 03:02:50,47.6666,-52.7314,27.0,93,90,4.61
35,Port Elizabeth,ZA,2021-03-15 03:02:50,-33.918,25.5701,69.8,88,20,3.44
36,Ribeira Grande,PT,2021-03-15 03:02:51,38.5167,-28.7,60.46,91,12,7.36
37,Pevek,RU,2021-03-15 03:02:51,69.7008,170.3133,-7.11,95,100,15.75
38,Arlit,NE,2021-03-15 02:59:58,18.7369,7.3853,72.18,15,0,7.2
39,New Norfolk,AU,2021-03-15 03:02:52,-42.7826,147.0587,71.01,41,28,5.01
40,Leningradskiy,RU,2021-03-15 03:02:53,69.3833,178.4167,2.08,93,100,12.37
41,Spearfish,US,2021-03-15 03:02:54,44.4908,-103.8594,30.99,100,90,10.36
42,Mataura,NZ,2021-03-15 03:02:54,-46.1927,168.8643,59.0,80,100,15.01
43,Yellowknife,CA,2021-03-15 03:02:55,62.456,-114.3525,8.6,85,90,5.75
44,Broken Hill,AU,2021-03-15 02:58:29,-31.95,141.4333,69.8,26,0,17.27
45,Strezhevoy,RU,2021-03-15 03:02:56,60.7333,77.5889,15.8,86,90,8.95
46,Mount Isa,AU,2021-03-15 03:00:46,-20.7333,139.5,84.2,51,3,11.5
47,Cape Town,ZA,2021-03-15 03:02:57,-33.9258,18.4232,64.99,94,75,23.02
48,Airai,TL,2021-03-15 03:02:58,-8.9266,125.4092,73.08,69,99,1.14
49,Nieuw Amsterdam,SR,2021-03-15 03:02:58,5.8833,-55.0833,77.0,91,98,7.99
50,Batemans Bay,AU,2021-03-15 02:58:50,-35.7167,150.1833,68.0,53,19,1.99
51,Kaitangata,NZ,2021-03-15 03:02:59,-46.2817,169.8464,57.6,91,100,8.08
52,Ibra,OM,2021-03-15 02:58:14,22.6906,58.5334,68.9,38,26,2.51
53,Nortelandia,BR,2021-03-15 03:03:00,-14.4547,-56.8028,72.14,94,55,2.19
54,Bolgatanga,GH,2021-03-15 03:03:00,10.7856,-0.8514,78.19,30,76,2.57
55,Georgetown,MY,2021-03-15 03:03:00,5.4112,100.3354,87.8,65,20,5.75
56,Zlobin,HR,2021-03-15 03:03:01,45.2924,14.6541,44.01,61,75,4.61
57,Puerto Ayora,EC,2021-03-15 03:03:02,-0.7393,-90.3518,77.0,92,91,3.4
58,Tiksi,RU,2021-03-15 03:03:03,71.6872,128.8694,3.36,86,100,2.42
59,Padra,IN,2021-03-15 03:03:03,22.2333,73.0833,73.4,46,40,3.44
60,Geraldton,AU,2021-03-15 03:03:04,-28.7667,114.6,91.4,17,44,25.32
61,Hegang,CN,2021-03-15 03:03:04,47.4,130.3667,40.91,58,100,10.71
62,Cap Malheureux,MU,2021-03-15 03:03:05,-19.9842,57.6142,75.99,93,92,1.99
63,Progreso,MX,2021-03-15 02:58:26,21.2833,-89.6667,84.2,58,40,9.22
64,Vao,NC,2021-03-15 03:03:06,-22.6667,167.4833,76.68,80,0,16.2
65,Arraial Do Cabo,BR,2021-03-15 02:58:22,-22.9661,-42.0278,76.62,85,98,17.07
66,Westport,US,2021-03-15 02:58:07,41.1415,-73.3579,32.0,32,1,16.11
67,Dikson,RU,2021-03-15 03:03:06,73.5069,80.5464,-23.96,98,100,12.37
68,Rio Tercero,AR,2021-03-15 03:03:07,-32.173,-64.1141,69.01,94,94,1.99
69,Hermanus,ZA,2021-03-15 03:03:07,-34.4187,19.2345,62.01,96,89,1.01
70,Pontianak,ID,2021-03-15 02:59:30,-0.0333,109.3333,77.0,94,75,6.91
71,Pisco,PE,2021-03-15 03:03:09,-13.7,-76.2167,77.0,65,0,5.75
72,Tadine,NC,2021-03-15 03:03:09,-21.55,167.8833,80.31,72,15,13.2
73,Mahebourg,MU,2021-03-15 03:03:10,-20.4081,57.7,77.0,94,75,12.8
74,Letka,RU,2021-03-15 03:03:10,59.6011,49.4232,20.73,95,98,7.16
75,Provideniya,RU,2021-03-15 03:03:10,64.3833,-173.3,26.6,93,100,8.84
76,Qaqortoq,GL,2021-03-15 03:03:11,60.7167,-46.0333,37.4,44,90,43.73
77,Bluff,NZ,2021-03-15 03:03:11,-46.6,168.3333,59.0,80,77,15.01
78,Narsaq,GL,2021-03-15 03:03:11,60.9167,-46.05,37.4,44,90,43.73
79,Ilulissat,GL,2021-03-15 03:03:12,69.2167,-51.1,12.2,52,100,8.05
80,Changde,CN,2021-03-15 03:03:12,29.0464,111.6783,66.0,24,100,14.0
81,Alamosa,US,2021-03-15 03:03:13,37.4695,-105.87,28.4,93,90,8.05
82,Barrow,US,2021-03-15 03:00:50,71.2906,-156.7887,-5.8,77,1,11.5
83,Kolaras,IN,2021-03-15 03:03:14,25.2333,77.6,77.94,26,50,4.0
84,Constitucion,CL,2021-03-15 03:03:14,-35.3333,-72.4167,56.46,88,91,2.57
85,Deputatskiy,RU,2021-03-15 03:03:15,69.3,139.9,-3.87,81,89,2.57
86,Hambantota,LK,2021-03-15 03:03:15,6.1241,81.1185,77.0,94,20,5.75
87,Butaritari,KI,2021-03-15 03:03:16,3.0707,172.7902,81.55,79,11,14.43
88,Aitape,PG,2021-03-15 03:03:17,-3.1374,142.3475,83.55,79,100,5.37
89,Tasiilaq,GL,2021-03-15 03:03:18,65.6145,-37.6368,24.8,54,90,26.46
90,Lianyuan,CN,2021-03-15 03:03:19,27.6883,111.6642,75.58,68,10,6.8
