City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,20,5.75,few clouds
1,Atuona,PF,-9.8,-139.0333,80.4,77,87,18.9,overcast clouds
2,Chokurdakh,RU,70.6333,147.9167,-13.92,96,98,5.84,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,79.54,70,9,13.76,clear sky
4,Avarua,CK,-21.2078,-159.775,86.0,79,75,18.41,broken clouds
5,Masvingo,ZW,-20.0637,30.8277,57.96,83,1,4.61,clear sky
6,Guerrero Negro,MX,27.9769,-114.0611,62.01,59,0,15.21,clear sky
7,Port Blair,IN,11.6667,92.75,80.46,79,10,4.61,clear sky
8,Hithadhoo,MV,-0.6,73.0833,82.72,71,100,11.81,overcast clouds
9,Laguna,US,38.421,-121.4238,69.8,16,1,5.57,clear sky
10,Te Anau,NZ,-45.4167,167.7167,62.96,59,46,2.28,scattered clouds
11,Hilo,US,19.7297,-155.09,84.2,51,40,16.11,scattered clouds
12,Nenjiang,CN,49.1833,125.2167,37.13,65,100,5.19,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,42.8,75,20,36.82,few clouds
14,Vaini,TO,-21.2,-175.2,75.2,100,90,6.91,moderate rain
15,Champerico,GT,14.3,-91.9167,87.8,66,40,9.22,scattered clouds
16,Fortuna,US,40.5982,-124.1573,53.01,81,90,12.66,overcast clouds
17,Boa Vista,BR,2.8197,-60.6733,80.6,78,75,2.3,light rain
18,Bluff,NZ,-46.6,168.3333,60.01,79,16,1.99,few clouds
19,Hasaki,JP,35.7333,140.8333,61.0,67,75,8.05,broken clouds
20,Russell,US,32.3502,-85.1999,69.8,88,75,2.57,broken clouds
21,Kenda,IN,23.2,86.5333,76.23,23,5,6.78,clear sky
22,Port Alfred,ZA,-33.5906,26.891,68.99,84,100,16.11,light rain
23,Busselton,AU,-33.65,115.3333,59.41,72,2,4.97,clear sky
24,Klaksvik,FO,62.2266,-6.589,41.0,81,20,4.61,few clouds
25,Cape Town,ZA,-33.9258,18.4232,66.0,82,0,1.14,clear sky
26,Pishva,IR,35.308,51.7267,69.8,32,90,18.41,overcast clouds
27,New Norfolk,AU,-42.7826,147.0587,64.0,73,100,5.01,light rain
28,Half Moon Bay,US,37.4636,-122.4286,63.0,82,1,9.22,haze
29,Ancud,CL,-41.8697,-73.8203,53.01,88,7,8.99,clear sky
30,Nishihara,JP,26.1842,127.7558,69.8,73,20,11.5,few clouds
31,Carauari,BR,-4.8828,-66.8958,73.18,97,90,2.46,overcast clouds
32,Punta Arenas,CL,-53.15,-70.9167,46.4,76,75,21.85,broken clouds
33,Labuhan,ID,-6.8844,112.2051,79.2,82,100,4.12,overcast clouds
34,Sorland,NO,67.667,12.6934,37.4,81,75,29.93,light rain
35,Ixtapa,MX,20.7,-105.2,75.2,53,75,12.66,broken clouds
36,Khatanga,RU,71.9667,102.5,-8.23,96,99,3.47,overcast clouds
37,Hermanus,ZA,-34.4187,19.2345,66.99,83,4,8.01,clear sky
